"Player","Nation","Pos","Age","new_pound_value","Team","team_id","Fotmob_rating"
"Edmond Tapsoba","BFA","DF","25","96154","Bayer Leverkusen","27","7.04"
"Exequiel Palacios","ARG","MF","25","96154","Bayer Leverkusen","27","7.4"
"Aleix García","ESP","MF","27","90769","Bayer Leverkusen","27","7.3"
"Florian Wirtz","GER","MF,FW","21","86538","Bayer Leverkusen","27","7.67"
"Granit Xhaka","SUI","MF","31","79808","Bayer Leverkusen","27","7.57"
"Jeremie Frimpong","NED","DF,FW","23","76923","Bayer Leverkusen","27","6.94"
"Jonas Hofmann","GER","MF,FW","32","76923","Bayer Leverkusen","27","6.97"
"Piero Hincapié","ECU","DF","22","72692","Bayer Leverkusen","27","7.2"
"Amine Adli","MAR","MF,FW","24","65385","Bayer Leverkusen","27","6.69"
"Martin Terrier","FRA","MF","27","65385","Bayer Leverkusen","27","6.63"
"Robert Andrich","GER","MF,DF","29","61538","Bayer Leverkusen","27","7.14"
"Jonathan Tah","GER","DF","28","54423","Bayer Leverkusen","27","7.27"
"Lukáš Hrádecký","FIN","GK","34","50000","Bayer Leverkusen","27","6.9"
"Victor Boniface","NGA","CF","24","38462","Bayer Leverkusen","27","6.97"
"Nathan Tella","NGA","FW,MF","25","34615","Bayer Leverkusen","27","6.75"
"Lautaro Martínez","ARG","FW","26","320577","Inter Milan","28","7.22"
"Nicolò Barella","ITA","MF","27","231538","Inter Milan","28","7.33"
"Hakan Çalhanoğlu","TUR","MF","30","213654","Inter Milan","28","7.44"
"Alessandro Bastoni","ITA","DF","25","195962","Inter Milan","28","7.11"
"Piotr Zieliński","POL","MF","30","160192","Inter Milan","28","6.86"
"Marcus Thuram","FRA","FW","26","147885","Inter Milan","28","7.38"
"Federico Dimarco","ITA","DF,FW","26","142500","Inter Milan","28","7.2"
"Stefan de Vrij","NED","DF","32","135385","Inter Milan","28","6.96"
"Joaquín Correa","ARG","FW,MF","29","124615","Inter Milan","28","6.55"
"Benjamin Pavard","FRA","DF","28","123269","Inter Milan","28","6.88"
"Mehdi Taremi","IRN","FW","32","106923","Inter Milan","28","6.5"
"Davide Frattesi","ITA","MF","24","99808","Inter Milan","28","6.75"
"Denzel Dumfries","NED","DF,FW","28","98654","Inter Milan","28","7.04"
