"Player","Nation","Pos","Age","new_pound_value","Team","team_id","Fotmob_rating"
"Ángel Correa","ARG","MF,FW","29","67308","Atlético Madrid","19","6.36"
"Thomas Lemar","FRA","FW","28","62500","Atlético Madrid","19","6.24"
"Javi Galán","ESP","DF","29","62500","Atlético Madrid","19","7.02"
"Samuel Lino","BRA","LM","25","24038","Atlético Madrid","19","6.9"
"Nahuel Molina","ARG","DF","26","23077","Atlético Madrid","19","6.9"
"Pablo Barrios","ESP","CM","21","22115","Atlético Madrid","19","7.26"
"Rodrigo Riquelme","ESP","MF,DF","24","11923","Atlético Madrid","19","6.61"
"Giuliano Simeone","ARG","CF","22","9615","Atlético Madrid","19","6.92"
"Ousmane Dembélé","FRA","FW","27","384615","Paris S-G","20","7.96"
"Marquinhos","BRA","CB","30","323077","Paris S-G","20","7.32"
"Khvicha Kvaratskhelia","GEO","FW","23","314615","Paris S-G","20","7.22"
